Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
41,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,Sales Executive,4,Single,5993,19479,8,1,8,0,1
49,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,24907,1,4,10,3,3
37,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,Laboratory Technician,3,Single,2090,2396,6,2,7,3,3
33,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,Research Scientist,3,Married,2909,23159,1,3,8,3,3
27,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,Laboratory Technician,2,Married,3468,16632,9,4,6,3,3
32,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Single,3068,11864,0,3,8,2,2
59,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,Laboratory Technician,1,Married,2670,9964,4,1,12,3,2
30,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,2693,13335,1,2,1,2,3
38,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,Manufacturing Director,3,Single,9526,8787,0,2,10,2,3
36,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,Healthcare Representative,3,Married,5237,16577,6,2,17,3,2
35,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,Laboratory Technician,2,Married,2426,16479,0,3,6,5,3
29,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,12682,0,4,10,3,3
31,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2911,15170,1,4,5,1,2
34,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,Laboratory Technician,4,Divorced,2661,8758,0,3,3,2,3
28,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,Laboratory Technician,3,Single,2028,12947,5,2,6,4,3
29,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,Manufacturing Director,1,Divorced,9980,10195,1,3,10,1,3
32,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,Research Scientist,2,Divorced,3298,15053,0,4,7,5,2
22,Non-Travel,Research & Development,16,2,Medical,4,Male,4,Laboratory Technician,4,Divorced,2935,7324,1,2,1,2,2
53,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,Manager,4,Married,15427,22021,2,3,31,3,3
38,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,Research Scientist,4,Single,3944,4306,5,3,6,3,3
24,Non-Travel,Research & Development,11,2,Other,1,Female,4,Manufacturing Director,3,Divorced,4011,8232,0,4,5,5,2
36,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,Sales Representative,1,Single,3407,6986,7,2,10,4,3
34,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,21293,0,3,13,4,3
21,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,Research Scientist,4,Single,1232,19281,1,4,0,6,3
34,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,Research Scientist,1,Single,2960,17102,2,3,8,2,3
53,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,Manager,3,Divorced,19094,10735,4,4,26,3,2
32,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,4681,1,2,10,5,3
42,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,Sales Executive,2,Married,6825,21173,0,4,10,2,3
44,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,Healthcare Representative,4,Married,10248,2094,3,4,24,4,3
46,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,Manager,1,Single,18947,22822,3,4,22,2,2
33,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,Laboratory Technician,4,Single,2496,6670,4,4,7,3,3
44,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,Healthcare Representative,4,Married,6465,19121,2,4,9,5,4
30,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,Laboratory Technician,3,Single,2206,16117,1,1,10,5,3
39,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,Sales Representative,4,Married,2086,3335,3,3,19,6,4
24,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,Research Scientist,4,Married,2293,3020,2,1,6,2,2
43,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,Research Scientist,3,Divorced,2645,21923,1,4,6,3,2
50,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,Sales Representative,3,Married,2683,3810,1,3,3,2,3
35,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,Sales Representative,4,Married,2014,9687,1,1,2,3,3
36,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,Research Scientist,1,Married,3419,13072,9,4,6,3,4
33,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,Sales Executive,1,Married,5376,3193,2,1,10,3,3
35,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,Laboratory Technician,4,Divorced,1951,10910,1,3,1,3,3
27,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,2341,19715,1,4,1,6,3
