school,sex,age,address,famsize,Pstatus,Medu
GP,F,18,U,GT3,A,4
GP,F,17,U,GT3,T,1
GP,F,15,U,LE3,T,1
GP,F,15,U,GT3,T,4
GP,F,16,U,GT3,T,3
GP,M,16,U,LE3,T,4
GP,M,16,U,LE3,T,2
GP,F,17,U,GT3,A,4
GP,M,15,U,LE3,A,3
GP,M,15,U,GT3,T,3
GP,F,15,U,GT3,T,4
GP,F,15,U,GT3,T,2
GP,M,15,U,LE3,T,4
GP,M,15,U,GT3,T,4
GP,M,15,U,GT3,A,2
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,3
GP,M,17,U,GT3,T,3
GP,M,16,U,LE3,T,4
GP,M,15,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,M,16,U,LE3,T,4
GP,M,16,U,LE3,T,2
GP,F,15,R,GT3,T,2
GP,F,16,U,GT3,T,2
GP,M,15,U,GT3,T,2
GP,M,15,U,GT3,T,4
GP,M,16,U,LE3,A,3
GP,M,16,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,M,15,R,GT3,T,4
GP,M,15,U,LE3,T,3
GP,M,16,U,GT3,T,3
GP,F,15,U,GT3,T,2
GP,M,15,U,LE3,T,4
GP,M,16,R,GT3,A,4
GP,F,15,R,GT3,T,3
GP,F,15,R,GT3,T,2
GP,F,16,U,LE3,T,2
GP,M,15,U,LE3,T,4
GP,M,15,U,GT3,T,4
GP,M,15,U,GT3,T,2
GP,F,16,U,LE3,T,2
GP,F,15,U,LE3,A,4
GP,F,16,U,LE3,A,3
GP,M,16,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,F,15,U,GT3,T,4
GP,F,16,U,LE3,T,2
GP,F,15,U,LE3,T,4
GP,M,15,U,LE3,A,4
GP,F,15,U,GT3,T,4
GP,F,15,U,LE3,A,3
GP,F,16,U,GT3,A,2
GP,F,15,U,GT3,A,4
GP,M,15,U,GT3,T,4
GP,M,15,U,LE3,T,1
GP,F,16,U,GT3,T,4
GP,F,16,R,GT3,T,4
GP,F,16,U,GT3,T,1
GP,F,16,U,LE3,T,1
GP,F,16,U,GT3,T,4
GP,F,15,U,LE3,T,4
GP,F,16,U,LE3,T,4
GP,M,15,U,GT3,A,4
GP,F,16,U,GT3,T,3
GP,F,15,R,LE3,T,2
GP,F,15,R,LE3,T,3
GP,M,16,U,GT3,T,3
GP,M,15,U,GT3,T,4
GP,F,15,R,GT3,T,1
GP,M,16,U,GT3,T,3
GP,F,16,U,GT3,T,3
GP,M,15,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,F,16,U,GT3,T,2
GP,M,17,U,GT3,T,2
GP,F,16,U,GT3,T,3
GP,M,15,U,GT3,T,2
GP,M,15,U,GT3,T,2
GP,F,15,U,LE3,T,3
GP,M,15,U,LE3,T,2
GP,F,15,U,GT3,T,1
GP,F,15,U,GT3,T,4
GP,F,16,U,LE3,T,2
GP,F,15,U,GT3,T,4
GP,M,16,U,GT3,T,2
GP,M,16,U,LE3,A,4
GP,F,16,U,GT3,T,3
GP,F,15,U,GT3,T,4
GP,F,16,U,LE3,T,3
GP,F,16,U,GT3,T,4
GP,M,15,U,LE3,T,2
GP,F,15,R,GT3,T,1
GP,M,16,R,GT3,T,4
GP,F,16,U,GT3,T,2
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,4
GP,M,16,U,GT3,T,4
GP,M,16,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,F,15,U,GT3,T,3
GP,M,15,U,GT3,A,3
GP,F,15,U,GT3,A,3
GP,F,15,U,GT3,T,2
